pwsid,pop_served,years_in_violation
AL0000537,4425,0
AL0000539,5451,0
AL0000540,12600,2
AL0000546,216,0
AL0000547,39798,0
AL0000548,7512,0
AL0000549,11832,0
AL0000551,10137,0
AL0000553,12060,0
AL0000555,11430,0
AL0000558,2994,0
AL0000559,2409,0
AL0000561,3414,0
AL0000563,1500,0
AL0000566,8400,0
AL0000570,903,1
AL0000571,1068,0
AL0000572,8403,0
AL0000573,2610,0
AL0000575,5616,0
AL0000577,44637,0
AL0000578,6465,0
AL0000580,3963,0
AL0000581,5536,0
AL0000582,6900,1
AL0000583,1074,0
AL0000587,4275,0
AL0000588,12363,0
AL0000589,861,0
AL0000591,12327,0
AL0000592,1227,0
AL0000594,4386,0
AL0000595,894,0
AL0000596,4887,0
AL0000597,8142,0
AL0000598,1500,1
AL0000604,2400,0
AL0000606,7425,0
AL0000607,6048,0
AL0000610,17100,0
AL0000612,1368,0
AL0000615,375,0
AL0000622,9600,0
AL0000624,4140,0
AL0000626,1852,0
AL0000628,4128,0
AL0000629,3630,0
AL0000636,4764,0
AL0000643,4062,0
AL0000645,4500,0
AL0000651,4404,0
AL0000657,3933,0
AL0000663,11625,0
AL0000664,6003,0
AL0000666,900,0
AL0000669,540,0
AL0000671,3816,0
AL0000676,1179,0
AL0000677,3570,1
AL0000678,2262,0
AL0000681,97146,0
AL0000685,414,0
AL0000689,2010,0
AL0000693,2382,0
AL0000702,9339,0
AL0000708,1521,0
AL0000713,5505,0
AL0000717,5880,0
AL0000726,1407,0
AL0000728,35259,0
AL0000729,22200,0
AL0000732,4101,1
AL0000737,86091,0
AL0000738,585000,0
AL0000741,2865,0
AL0000748,9288,0
AL0000751,10098,0
AL0000753,21300,0
AL0000755,5991,0
AL0000761,36300,0
AL0000763,38700,1
AL0000765,3243,0
AL0000767,435,0
AL0000769,723,0
AL0000770,1410,0
AL0000772,2643,0
AL0000773,9801,0
AL0000777,4881,1
AL0000783,77766,0
AL0000788,2910,0
AL0000789,5271,0
AL0000794,15681,0
AL0000798,9585,0
AL0000800,1527,0
AL0000801,15669,0
AL0000804,74292,0
AL0000805,12684,0
AL0000814,14964,0
AL0000816,56520,0
AL0000820,33555,0
AL0000824,43431,1
AL0000831,324,0
AL0000833,90900,0
AL0000846,2250,0
AL0000847,2868,0
AL0000852,1128,0
AL0000853,1704,0
AL0000858,1200,0
AL0000860,150,0
AL0000862,2850,0
AL0000865,1962,0
AL0000867,6951,0
AL0000870,12900,0
AL0000878,51915,0
AL0000882,310107,0
AL0000885,54114,0
AL0000888,119100,0
AL0000893,6231,0
AL0000897,13569,0
AL0000899,44472,0
AL0000904,1155,0
AL0000905,7038,0
AL0000908,10530,0
AL0000909,414,0
AL0000914,5103,0
AL0000918,465,3
AL0000919,960,0
AL0000920,3222,0
AL0000921,1590,1
AL0000924,4350,0
AL0000925,2514,1
AL0000926,10500,0
AL0000929,804,0
AL0000930,8631,0
AL0000933,29367,0
AL0000934,39795,0
AL0000935,4077,0
AL0000936,15138,0
AL0000940,19179,0
AL0000943,13374,0
AL0000945,15300,0
AL0000947,5328,0
AL0000949,2598,0
AL0000951,3072,1
AL0000957,8100,0
AL0000967,39249,0
AL0000971,5802,0
AL0000983,11100,0
AL0000993,6294,0
AL0000994,3825,0
AL0001002,39573,0
AL0001005,279000,1
AL0001006,1878,1
AL0001015,29190,3
AL0001021,13827,0
AL0001022,7248,0
AL0001031,10284,0
AL0001044,1485,0
AL0001046,3600,1
AL0001047,2100,0
AL0001050,2532,0
AL0001052,9885,0
AL0001056,3420,0
AL0001070,276000,0
AL0001071,2700,0
AL0001072,588,0
AL0001073,5343,0
AL0001074,1398,0
AL0001077,1644,0
AL0001078,2550,0
AL0001084,77103,0
AL0001085,1455,0
AL0001086,22233,0
AL0001088,25854,0
AL0001091,2844,0
AL0001092,30000,0
AL0001097,4188,0
AL0001100,3600,0
AL0001102,5655,0
AL0001103,1305,0
AL0001105,3630,0
AL0001106,14364,0
