county_fips,specific_yield_kwh_kwp,irradiation_kwh_m2
18143,1271.5,1704.9
18145,1282.0,1692.1
18147,1304.3,1753.2
18149,1247.7,1633.8
18151,1247.2,1631.4
18153,1285.1,1712.3
18155,1269.5,1704.6
18157,1294.5,1699.3
18159,1274.2,1671.1
18161,1265.9,1678.2
18163,1337.2,1795.5
18165,1286.7,1700.6
18167,1290.6,1714.6
18169,1241.5,1628.7
18171,1288.0,1692.0
18173,1297.0,1740.6
18175,1281.7,1722.7
18177,1258.9,1658.6
18179,1249.9,1639.4
18181,1276.9,1673.8
18183,1235.9,1622.4
19001,1363.5,1770.7
19003,1373.3,1786.9
19005,1279.8,1665.8
19007,1340.7,1753.6
19009,1361.4,1765.8
19011,1319.6,1712.5
19013,1315.5,1700.6
19015,1333.6,1730.4
19017,1314.9,1699.4
19019,1307.0,1691.7
19021,1361.8,1758.9
19023,1323.5,1709.3
19025,1352.1,1752.6
19027,1366.1,1768.4
19029,1369.0,1780.3
19031,1321.9,1720.6
19033,1324.1,1705.7
19035,1351.9,1749.4
19037,1309.2,1687.2
19039,1355.0,1763.1
19041,1354.6,1747.6
19043,1289.3,1676.5
19045,1313.6,1712.7
19047,1368.7,1772.7
19049,1338.3,1740.5
19051,1332.8,1747.6
19053,1359.7,1772.4
19055,1301.3,1684.8
19057,1321.1,1733.0
19059,1339.7,1724.8
19061,1309.6,1702.3
19063,1340.7,1727.2
19065,1309.7,1691.4
19067,1319.6,1701.8
19069,1326.1,1710.8
19071,1384.1,1811.8
19073,1338.2,1737.3
19075,1318.8,1706.9
19077,1359.7,1762.9
19079,1333.9,1727.2
19081,1333.4,1719.1
19083,1326.0,1715.1
19085,1368.0,1782.9
19087,1323.8,1734.5
19089,1302.5,1678.0
19091,1338.5,1731.4
19093,1366.9,1771.2
19095,1321.3,1719.0
19097,1306.7,1704.7
19099,1331.2,1732.3
19101,1325.1,1732.4
19103,1316.9,1716.6
19105,1320.6,1711.9
19107,1329.1,1732.0
19109,1336.0,1722.6
19111,1322.0,1744.7
19113,1317.5,1710.5
19115,1320.3,1727.7
19117,1351.8,1759.5
19119,1360.0,1757.1
19121,1355.7,1762.1
19123,1335.0,1739.0
19125,1347.5,1754.6
19127,1324.2,1716.9
19129,1377.6,1800.6
19131,1307.8,1683.4
19133,1357.5,1768.3
19135,1345.8,1752.8
19137,1375.2,1793.8
19139,1323.8,1731.2
19141,1360.5,1756.7
19143,1349.7,1739.6
19145,1381.5,1805.3
19147,1347.3,1739.0
19149,1368.2,1772.8
19151,1350.7,1746.9
19153,1340.4,1743.1
19155,1377.6,1795.3
19157,1328.4,1727.5
19159,1369.2,1784.8
19161,1363.8,1764.9
19163,1316.6,1719.8
19165,1376.3,1786.8
19167,1368.3,1768.9
19169,1328.0,1723.3
19171,1320.6,1712.6
19173,1379.3,1797.8
19175,1364.8,1773.8
19177,1330.6,1746.0
19179,1327.6,1732.3
19181,1341.7,1746.8
19183,1330.5,1735.6
19185,1351.3,1762.4
19187,1339.3,1734.3
19189,1320.8,1701.1
19191,1296.4,1676.7
19193,1365.7,1774.8
19195,1314.5,1690.8
19197,1338.5,1728.9
20001,1415.0,1888.8
20003,1419.3,1889.0
20005,1394.6,1839.3
20007,1560.8,2071.2
20009,1539.3,2033.5
20011,1397.6,1866.8
20013,1396.5,1834.1
20015,1481.9,1965.6
20017,1469.6,1942.0
20019,1450.7,1935.0
20021,1403.3,1887.3
20023,1582.1,2083.3
20025,1600.6,2124.9
20027,1460.6,1933.8
20029,1462.3,1938.5
20031,1435.7,1900.3
20033,1590.2,2108.4
20035,1489.0,1982.8
20037,1409.3,1887.3
20039,1545.9,2038.1
